                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60419,                0.54572,                0.85311,                0.60204,                0.57648,                0.61294,                0.50074,                0.81176,                 1.3782,                0.90686,             0.00059644,             0.00059644,             0.00059644
                     37,                0.60004,                0.56785,                0.85351,                0.65652,                0.59092,                0.61747,                0.50431,                 0.8176,                 1.3502,                 0.9134,             0.00059136,             0.00059136,             0.00059136
                     38,                0.59654,                0.54358,                0.84916,                0.72906,                0.52663,                0.60062,                0.49105,                0.84068,                 1.4386,                0.92537,             0.00058629,             0.00058629,             0.00058629
                     39,                0.61557,                0.57789,                0.86692,                0.75939,                0.55052,                0.63569,                0.51631,                0.87443,                 1.3763,                0.92541,             0.00058121,             0.00058121,             0.00058121
                     40,                0.63304,                0.59414,                0.85596,                0.79589,                0.55898,                0.66359,                0.55048,                0.84178,                 1.3325,                0.92826,             0.00057613,             0.00057613,             0.00057613
                     41,                 0.5974,                0.53119,                0.84572,                0.82825,                0.58085,                0.67275,                0.56691,                0.82988,                 1.2794,                0.91723,             0.00057106,             0.00057106,             0.00057106
                     42,                0.59231,                0.51061,                0.85319,                0.88311,                0.56724,                 0.6836,                0.56308,                0.84086,                 1.2688,                0.90408,             0.00056598,             0.00056598,             0.00056598
                     43,                0.60283,                0.50793,                0.83626,                 0.8827,                0.56362,                0.68649,                  0.564,                0.83176,                  1.277,                0.89977,             0.00056091,             0.00056091,             0.00056091
                     44,                0.57923,                0.50779,                0.83326,                0.80442,                0.56531,                0.67135,                0.55638,                0.81943,                  1.287,                0.90794,             0.00055583,             0.00055583,             0.00055583
                     45,                0.56993,                0.49238,                0.83632,                0.72881,                0.58283,                0.65521,                0.53705,                0.83948,                 1.3316,                0.90995,             0.00055076,             0.00055076,             0.00055076
                     46,                0.59335,                0.50065,                0.85553,                0.71715,                0.59712,                0.65363,                 0.5454,                0.83452,                 1.2735,                 0.9063,             0.00054568,             0.00054568,             0.00054568
                     47,                0.57476,                0.50397,                 0.8544,                0.83171,                0.56883,                0.66343,                0.55769,                0.83007,                 1.2396,                0.91958,             0.00054061,             0.00054061,             0.00054061
