                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59486,                0.51192,                0.84644,                0.87417,                0.66272,                0.76421,                0.61405,                0.80987,                0.93249,                0.88563,             0.00086169,             0.00086169,             0.00086169
                     37,                0.61047,                 0.5667,                0.84161,                0.90168,                0.68095,                 0.7523,                0.60505,                0.82531,                0.98611,                0.88773,             0.00085436,             0.00085436,             0.00085436
                     38,                0.59414,                0.56164,                0.84563,                0.90626,                0.67877,                0.71963,                0.58977,                0.80914,                 1.1269,                0.90055,             0.00084703,             0.00084703,             0.00084703
                     39,                0.63051,                0.53394,                0.85065,                0.85053,                0.65958,                0.72345,                0.59559,                0.81196,                 1.1926,                0.89631,             0.00083969,             0.00083969,             0.00083969
                     40,                0.61176,                 0.5292,                0.83168,                 0.8858,                0.70804,                0.74502,                0.61218,                0.82816,                 1.0462,                 0.9006,             0.00083236,             0.00083236,             0.00083236
                     41,                0.62502,                0.49479,                0.83957,                0.89898,                0.68206,                0.73839,                0.60583,                0.83932,                 1.0893,                0.91244,             0.00082503,             0.00082503,             0.00082503
                     42,                0.61664,                0.53153,                0.84938,                 0.9097,                0.68231,                0.73037,                0.59556,                0.85142,                  1.131,                0.91726,              0.0008177,              0.0008177,              0.0008177
                     43,                0.62491,                0.50365,                0.82866,                0.93083,                0.64247,                0.72524,                0.59277,                0.87218,                 1.1051,                0.91679,             0.00081036,             0.00081036,             0.00081036
                     44,                0.63782,                0.48202,                0.84047,                0.89009,                0.66212,                0.73506,                 0.6018,                  0.839,                 1.0234,                0.90993,             0.00080303,             0.00080303,             0.00080303
                     45,                 0.6027,                0.49225,                 0.8372,                0.91876,                0.65097,                0.73229,                0.60157,                0.82119,                0.96772,                0.90756,              0.0007957,              0.0007957,              0.0007957
                     46,                0.60208,                0.49776,                0.84073,                0.89866,                0.65154,                0.72286,                0.60007,                 0.7779,                0.95635,                0.89334,             0.00078837,             0.00078837,             0.00078837
                     47,                0.58926,                0.49124,                 0.8398,                0.94052,                0.66841,                0.74952,                 0.6176,                0.77302,                0.87341,                0.89095,             0.00078103,             0.00078103,             0.00078103
                     48,                0.57398,                 0.5117,                0.83952,                0.87537,                0.68277,                0.74239,                0.61096,                0.78542,                0.92028,                0.89927,              0.0007737,              0.0007737,              0.0007737
                     49,                0.62255,                0.53759,                0.84093,                0.88692,                0.67902,                0.73573,                0.60725,                0.78629,                 1.0081,                0.89257,             0.00076637,             0.00076637,             0.00076637
                     50,                0.56498,                0.46338,                0.83524,                0.90666,                0.65282,                0.73927,                 0.6297,                0.75962,                 1.0375,                0.88196,             0.00075904,             0.00075904,             0.00075904
                     51,                0.59199,                0.47602,                0.83664,                0.90918,                0.64851,                0.75138,                0.63632,                0.73818,                0.98428,                0.87613,              0.0007517,              0.0007517,              0.0007517
                     52,                0.59607,                 0.4815,                0.83363,                0.88889,                0.70777,                0.78838,                0.63891,                0.79784,                0.87559,                0.88369,             0.00074437,             0.00074437,             0.00074437
                     53,                0.60038,                0.46551,                0.84127,                0.95808,                0.69113,                 0.7956,                0.64522,                0.81008,                0.84179,                 0.8807,             0.00073704,             0.00073704,             0.00073704
                     54,                 0.6292,                0.46604,                 0.8425,                0.91113,                0.71137,                0.78391,                  0.624,                0.85004,                0.87079,                0.89532,              0.0007297,              0.0007297,              0.0007297
                     55,                0.61818,                0.50293,                0.84347,                0.92129,                0.71002,                 0.7905,                0.63047,                0.82603,                0.85359,                0.89679,             0.00072237,             0.00072237,             0.00072237
                     56,                0.56473,                0.44353,                0.83746,                0.94491,                 0.6929,                0.79925,                0.66135,                0.76823,                0.86283,                0.88531,             0.00071504,             0.00071504,             0.00071504
                     57,                0.55977,                0.42935,                0.82729,                0.91541,                0.66684,                0.78377,                0.64303,                0.76825,                0.93095,                0.89005,             0.00070771,             0.00070771,             0.00070771
                     58,                0.53935,                0.45219,                0.82777,                0.95285,                0.65675,                0.76056,                0.63894,                 0.7489,                0.88439,                 0.8757,             0.00070037,             0.00070037,             0.00070037
                     59,                0.53933,                0.42263,                0.83255,                0.92262,                0.67496,                0.74836,                0.62432,                0.77254,                0.90377,                0.87766,             0.00069304,             0.00069304,             0.00069304
                     60,                0.56191,                0.42897,                0.82406,                 0.9171,                0.68173,                0.74701,                0.62946,                 0.7777,                0.89868,                0.88277,             0.00068571,             0.00068571,             0.00068571
                     61,                0.55616,                0.43443,                0.82126,                0.90848,                0.67873,                0.75557,                0.64028,                0.74059,                0.90886,                0.87412,             0.00067838,             0.00067838,             0.00067838
                     62,                 0.5568,                 0.4365,                0.81928,                 0.9461,                  0.639,                 0.7616,                0.64215,                0.74923,                0.93182,                0.87571,             0.00067104,             0.00067104,             0.00067104
                     63,                0.53346,                0.42098,                0.82681,                0.90712,                0.65253,                0.76076,                 0.6398,                0.74656,                0.94837,                0.87505,             0.00066371,             0.00066371,             0.00066371
                     64,                0.58333,                0.45288,                0.83194,                0.90237,                0.66754,                0.78023,                0.64017,                0.78028,                0.92455,                0.88253,             0.00065638,             0.00065638,             0.00065638
                     65,                0.54404,                0.44233,                0.83573,                0.93874,                0.64238,                0.78576,                0.64733,                0.78217,                0.88335,                0.88232,             0.00064905,             0.00064905,             0.00064905
                     66,                0.55296,                0.43805,                0.83161,                0.96767,                0.64055,                0.78388,                0.65452,                0.75372,                0.89262,                0.87721,             0.00064171,             0.00064171,             0.00064171
                     67,                0.55856,                0.43086,                0.82061,                0.96853,                0.65984,                0.77864,                0.64208,                0.77203,                 0.8885,                0.87876,             0.00063438,             0.00063438,             0.00063438
                     68,                0.56195,                0.42645,                0.83001,                0.93583,                0.67376,                0.77534,                0.65538,                0.74266,                0.90878,                0.88131,             0.00062705,             0.00062705,             0.00062705
                     69,                0.54532,                 0.4097,                0.82356,                 0.9535,                0.66951,                0.78198,                0.66479,                 0.7398,                0.88875,                0.87581,             0.00061972,             0.00061972,             0.00061972
                     70,                0.54801,                0.39706,                0.82928,                0.94909,                0.70569,                0.79908,                 0.6779,                0.73147,                0.83667,                0.87162,             0.00061238,             0.00061238,             0.00061238
                     71,                0.51471,                 0.3855,                 0.8086,                0.92921,                0.71438,                0.80123,                0.67854,                0.73074,                0.81821,                0.87475,             0.00060505,             0.00060505,             0.00060505
                     72,                  0.535,                0.39771,                0.82751,                0.96452,                0.70176,                0.79489,                 0.6793,                0.74238,                0.82291,                0.87302,             0.00059772,             0.00059772,             0.00059772
                     73,                 0.5238,                0.38645,                 0.8158,                0.95718,                 0.7099,                 0.7917,                0.67899,                0.75056,                0.83072,                 0.8754,             0.00059039,             0.00059039,             0.00059039
                     74,                0.54291,                0.39195,                0.81714,                0.96075,                0.71858,                0.78832,                0.67262,                0.76318,                0.87334,                0.87875,             0.00058305,             0.00058305,             0.00058305
                     75,                0.52775,                0.40516,                0.81671,                0.93223,                 0.7185,                0.78496,                0.66737,                0.75299,                 0.8599,                0.87296,             0.00057572,             0.00057572,             0.00057572
                     76,                0.54381,                0.37984,                0.82598,                0.90986,                0.71649,                0.77877,                0.65971,                0.76721,                0.85906,                0.87655,             0.00056839,             0.00056839,             0.00056839
                     77,                0.53174,                0.38762,                0.82734,                0.95907,                0.68558,                 0.7793,                0.66438,                 0.7595,                0.82796,                0.87772,             0.00056105,             0.00056105,             0.00056105
                     78,                0.56176,                0.41863,                0.81567,                0.95479,                0.70193,                0.78545,                0.66416,                0.75823,                0.81939,                0.88221,             0.00055372,             0.00055372,             0.00055372
                     79,                0.52007,                 0.3755,                0.83125,                0.95764,                 0.7051,                0.78624,                0.66496,                0.76087,                0.82553,                0.87702,             0.00054639,             0.00054639,             0.00054639
                     80,                0.50935,                0.36226,                0.82286,                0.97369,                0.70397,                0.79187,                0.67976,                0.72367,                0.81846,                0.86446,             0.00053906,             0.00053906,             0.00053906
                     81,                0.54481,                0.40647,                0.82156,                0.97154,                0.70166,                0.79311,                 0.6803,                0.72681,                0.83773,                 0.8662,             0.00053172,             0.00053172,             0.00053172
                     82,                0.51087,                0.37702,                0.82362,                0.93579,                0.71115,                0.78943,                0.67306,                0.74711,                0.86108,                0.86997,             0.00052439,             0.00052439,             0.00052439
                     83,                0.50659,                 0.3704,                0.82055,                0.96481,                0.68934,                0.78873,                0.67845,                0.72045,                0.84481,                0.86345,             0.00051706,             0.00051706,             0.00051706
                     84,                0.49209,                 0.3539,                0.81972,                0.95948,                0.69628,                 0.7862,                0.67362,                0.73366,                0.84799,                 0.8731,             0.00050973,             0.00050973,             0.00050973
                     85,                0.50712,                0.35424,                0.81624,                0.96479,                0.69278,                0.78261,                0.66896,                0.74169,                0.84829,                0.87544,             0.00050239,             0.00050239,             0.00050239
                     86,                0.49501,                0.35086,                0.80863,                0.95515,                0.68804,                0.77724,                0.65834,                0.75344,                 0.8612,                0.87471,             0.00049506,             0.00049506,             0.00049506
                     87,                 0.5076,                0.36122,                0.82288,                0.90433,                0.71723,                0.77608,                0.65144,                0.76878,                0.86205,                 0.8784,             0.00048773,             0.00048773,             0.00048773
                     88,                0.51256,                0.35523,                0.81877,                 0.9225,                0.70753,                0.77182,                0.65405,                0.76467,                0.83853,                0.87892,              0.0004804,              0.0004804,              0.0004804
                     89,                0.48363,                0.36531,                0.80978,                0.91883,                0.71142,                0.76949,                0.65146,                0.75846,                0.86696,                0.87796,             0.00047306,             0.00047306,             0.00047306
                     90,                 0.5119,                0.37523,                0.81788,                0.95196,                 0.6925,                 0.7649,                0.64633,                0.76121,                0.87881,                0.87649,             0.00046573,             0.00046573,             0.00046573
                     91,                0.50261,                0.36245,                0.81508,                0.93324,                0.70301,                0.76649,                0.65164,                0.75262,                0.86814,                0.87516,              0.0004584,              0.0004584,              0.0004584
                     92,                0.49236,                0.35455,                0.81227,                0.92666,                0.70614,                0.77425,                0.65684,                0.75218,                0.85786,                0.87632,             0.00045107,             0.00045107,             0.00045107
                     93,                0.47903,                0.35125,                0.81716,                0.93864,                0.70307,                0.77685,                0.66587,                  0.745,                0.86549,                0.87516,             0.00044373,             0.00044373,             0.00044373
                     94,                0.47203,                0.35729,                0.80238,                0.91471,                0.72269,                0.77953,                0.66504,                0.75051,                0.90853,                0.87282,              0.0004364,              0.0004364,              0.0004364
                     95,                 0.4956,                0.36743,                0.81499,                0.91648,                0.71419,                0.78237,                0.67298,                0.74983,                0.91431,                0.87695,             0.00042907,             0.00042907,             0.00042907
                     96,                0.47806,                0.34235,                0.81602,                0.95965,                0.68436,                0.78582,                 0.6711,                0.76502,                0.91659,                0.88755,             0.00042174,             0.00042174,             0.00042174
