                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98942,                 0.4053,                 1.0477,                0.94514,                0.94575,                0.97695,                0.66528,                 1.0914,                0.40156,                  1.168,              0.0012929,              0.0012929,              0.0012929
                     37,                0.97417,                0.40005,                 1.0326,                 0.9633,                0.93988,                0.98214,                0.67183,                 1.0877,                0.40196,                 1.1734,              0.0012819,              0.0012819,              0.0012819
                     38,                 0.9821,                0.40176,                 1.0347,                0.94941,                0.95397,                0.97661,                0.67077,                 1.0882,                0.39635,                 1.1782,              0.0012709,              0.0012709,              0.0012709
                     39,                0.96595,                0.39079,                 1.0346,                0.95586,                0.94784,                0.98204,                0.65947,                 1.0965,                0.40198,                  1.181,              0.0012599,              0.0012599,              0.0012599
                     40,                0.96731,                0.39144,                 1.0382,                0.95419,                0.95148,                0.98195,                0.67041,                 1.0957,                0.39664,                 1.1869,              0.0012489,              0.0012489,              0.0012489
                     41,                0.95139,                0.38793,                 1.0288,                0.96362,                0.93964,                0.98115,                0.67401,                  1.084,                 0.3972,                 1.1748,              0.0012379,              0.0012379,              0.0012379
                     42,                0.94887,                0.38905,                 1.0247,                0.95102,                0.95427,                0.98366,                0.66909,                 1.0908,                0.39882,                 1.1736,              0.0012269,              0.0012269,              0.0012269
                     43,                0.95467,                0.38859,                 1.0195,                0.94733,                0.94494,                0.97665,                0.65765,                 1.1027,                0.39431,                  1.178,              0.0012159,              0.0012159,              0.0012159
                     44,                 0.9434,                0.38162,                 1.0201,                0.94651,                0.96608,                0.98438,                0.67624,                 1.0836,                0.38521,                 1.1825,              0.0012049,              0.0012049,              0.0012049
                     45,                0.94146,                0.37894,                 1.0218,                0.95415,                0.94937,                0.98367,                0.67496,                 1.0871,                0.38875,                 1.1759,              0.0011939,              0.0011939,              0.0011939
                     46,                0.92432,                0.37817,                 1.0139,                0.95778,                0.94326,                0.98369,                0.67647,                   1.09,                0.38989,                 1.1797,              0.0011829,              0.0011829,              0.0011829
                     47,                0.92509,                0.37909,                 1.0151,                 0.9572,                0.95457,                0.98076,                0.67112,                 1.0848,                0.38722,                 1.1751,              0.0011719,              0.0011719,              0.0011719
                     48,                 0.9177,                0.37607,                 1.0083,                0.95955,                0.94969,                0.98241,                0.66381,                 1.1158,                0.39972,                  1.202,              0.0011609,              0.0011609,              0.0011609
                     49,                0.92788,                0.37521,                 1.0235,                0.95845,                0.93955,                0.97638,                0.66468,                 1.1092,                0.40198,                  1.201,              0.0011499,              0.0011499,              0.0011499
